url,title,title_length,description,description_length
https://canadawashrooms.ca/,"Canada Washrooms — Portable toilet & washroom rentals across Canada",67,"Find portable toilet rentals, portable washrooms, and restroom trailers for construction, events, and remote sites.",115
https://canadawashrooms.ca/providers/,"Portable Washroom Providers in Canada | Canada Washrooms",56,"National directory of portable washroom providers.",50
https://canadawashrooms.ca/about/,"About Canada Washrooms | Canada Washrooms",41,"Independent provider discovery for portable washroom rentals across Canada.",75
https://canadawashrooms.ca/methodology/,"Methodology | Canada Washrooms",30,"How Canada Washrooms curates portable washroom provider listings.",65
https://canadawashrooms.ca/contact/,"Contact | Canada Washrooms",26,"Contact Canada Washrooms.",25
https://canadawashrooms.ca/coverage/,"Coverage | Canada Washrooms",27,"Provincial and city coverage for portable washroom listings.",60
https://canadawashrooms.ca/privacy/,"Privacy Policy | Canada Washrooms",33,"Privacy policy for Canada Washrooms.",36
https://canadawashrooms.ca/terms/,"Terms of Use | Canada Washrooms",31,"Terms of use for Canada Washrooms.",34
https://canadawashrooms.ca/disclaimer/,"Disclaimer | Canada Washrooms",29,"Disclaimer for Canada Washrooms.",32
https://canadawashrooms.ca/construction-portable-washrooms/calgary/,"Construction portable washrooms in Calgary — crews, servicing & long-term rentals | Canada Washrooms",100,"Operational portable sanitation for Calgary construction: serviced routes, crew-scale capacity, and seasonal realities including freeze–thaw and mud cycles. Compare operators matched to jobsite logistics — not a generic directory.",230
https://canadawashrooms.ca/construction-portable-washrooms/edmonton/,"Construction portable washrooms in Edmonton — crews, servicing & long-term rentals | Canada Washrooms",101,"Operational portable sanitation for Edmonton construction: serviced routes, crew-scale capacity, and seasonal realities including freeze–thaw and mud cycles. Compare operators matched to jobsite logistics — not a generic directory.",231
https://canadawashrooms.ca/construction-portable-washrooms/fort-mcmurray/,"Construction portable washrooms in Fort McMurray — crews, servicing & long-term rentals | Canada Washrooms",106,"Operational portable sanitation for Fort McMurray construction: serviced routes, crew-scale capacity, and seasonal realities including freeze–thaw and mud cycles. Compare operators matched to jobsite logistics — not a generic directory.",236
https://canadawashrooms.ca/construction-portable-washrooms/red-deer/,"Construction portable washrooms in Red Deer — crews, servicing & long-term rentals | Canada Washrooms",101,"Operational portable sanitation for Red Deer construction: serviced routes, crew-scale capacity, and seasonal realities including freeze–thaw and mud cycles. Compare operators matched to jobsite logistics — not a generic directory.",231
https://canadawashrooms.ca/construction-portable-washrooms/canmore/,"Construction portable washrooms in Canmore — crews, servicing & long-term rentals | Canada Washrooms",100,"Operational portable sanitation for Canmore construction: serviced routes, crew-scale capacity, and seasonal realities including freeze–thaw and mud cycles. Compare operators matched to jobsite logistics — not a generic directory.",230
https://canadawashrooms.ca/construction-portable-washrooms/toronto/,"Construction portable washrooms in Toronto — crews, servicing & long-term rentals | Canada Washrooms",100,"Operational portable sanitation for Toronto construction: serviced routes, crew-scale capacity, and seasonal realities including freeze–thaw and mud cycles. Compare operators matched to jobsite logistics — not a generic directory.",230
https://canadawashrooms.ca/construction-portable-washrooms/mississauga/,"Construction portable washrooms in Mississauga — crews, servicing & long-term rentals | Canada Washrooms",104,"Operational portable sanitation for Mississauga construction: serviced routes, crew-scale capacity, and seasonal realities including freeze–thaw and mud cycles. Compare operators matched to jobsite logistics — not a generic directory.",234
https://canadawashrooms.ca/construction-portable-washrooms/brampton/,"Construction portable washrooms in Brampton — crews, servicing & long-term rentals | Canada Washrooms",101,"Operational portable sanitation for Brampton construction: serviced routes, crew-scale capacity, and seasonal realities including freeze–thaw and mud cycles. Compare operators matched to jobsite logistics — not a generic directory.",231
https://canadawashrooms.ca/construction-portable-washrooms/hamilton/,"Construction portable washrooms in Hamilton — crews, servicing & long-term rentals | Canada Washrooms",101,"Operational portable sanitation for Hamilton construction: serviced routes, crew-scale capacity, and seasonal realities including freeze–thaw and mud cycles. Compare operators matched to jobsite logistics — not a generic directory.",231
https://canadawashrooms.ca/construction-portable-washrooms/vaughan/,"Construction portable washrooms in Vaughan — crews, servicing & long-term rentals | Canada Washrooms",100,"Operational portable sanitation for Vaughan construction: serviced routes, crew-scale capacity, and seasonal realities including freeze–thaw and mud cycles. Compare operators matched to jobsite logistics — not a generic directory.",230
https://canadawashrooms.ca/construction-portable-washrooms/markham/,"Construction portable washrooms in Markham — crews, servicing & long-term rentals | Canada Washrooms",100,"Operational portable sanitation for Markham construction: serviced routes, crew-scale capacity, and seasonal realities including freeze–thaw and mud cycles. Compare operators matched to jobsite logistics — not a generic directory.",230
https://canadawashrooms.ca/construction-portable-washrooms/surrey/,"Construction portable washrooms in Surrey — crews, servicing & long-term rentals | Canada Washrooms",99,"Operational portable sanitation for Surrey construction: serviced routes, crew-scale capacity, and seasonal realities including freeze–thaw and mud cycles. Compare operators matched to jobsite logistics — not a generic directory.",229
https://canadawashrooms.ca/construction-portable-washrooms/vancouver/,"Construction portable washrooms in Vancouver — crews, servicing & long-term rentals | Canada Washrooms",102,"Operational portable sanitation for Vancouver construction: serviced routes, crew-scale capacity, and seasonal realities including freeze–thaw and mud cycles. Compare operators matched to jobsite logistics — not a generic directory.",232
https://canadawashrooms.ca/construction-portable-washrooms/abbotsford/,"Construction portable washrooms in Abbotsford — crews, servicing & long-term rentals | Canada Washrooms",103,"Operational portable sanitation for Abbotsford construction: serviced routes, crew-scale capacity, and seasonal realities including freeze–thaw and mud cycles. Compare operators matched to jobsite logistics — not a generic directory.",233
https://canadawashrooms.ca/construction-portable-washrooms/kelowna/,"Construction portable washrooms in Kelowna — crews, servicing & long-term rentals | Canada Washrooms",100,"Operational portable sanitation for Kelowna construction: serviced routes, crew-scale capacity, and seasonal realities including freeze–thaw and mud cycles. Compare operators matched to jobsite logistics — not a generic directory.",230
